problem_id,a1,d,g,u
Q1,20.182926000137023,4.323454386076266,5.700727187555742e-6,1
Q2,40.529793474602755,-52.167153626412635,0.5913833205358463,1
Q3,-0.642437304436839,0.9920509210470475,1.0487336328524655e-4,1
Q4,0.2547527728606954,0.04094676019213834,2.024743923366991e-4,1
Q5,25.97128439206049,-36.83464823740807,0.12508657276745144,1
Q6,28.60716006628219,23.407750361582263,4.17359594486296e-5,1
Q7,3.4695629856367947,-6.9013285590194995,0.2981111016235723,1
Q8,41.321059065758604,-53.67853402544614,0.5200288541488061,1
Q9,3.701012334900143,-0.8259359980587226,0.14083581601453127,1
Q10,-24.28233520738877,-27.72917388038465,0.41672766233618136,1
Q11,0.4091884979884126,-0.23039089647063002,8.897652206846009e-5,1
Q12,28.68175983220042,-30.499542396192613,0.3776462154998651,1
Q13,-1.287571305441124,0.14384918196709984,1.2206876610377338e-5,1
Q14,0.6328317389027616,-0.33766552474934747,4.180712751015938e-5,1
Q15,-0.752992435822825,-0.4202471949885564,7.316640512799196e-5,1
Q16,0.5386268283698258,-0.34491880210184067,1.839112946565589e-4,1
